utility_name,facility-source-affected,Plant_Name
Basin Electric,Antelope Valley Station Units 1 and 2,Antelope Valley
Arizona Electric Power Cooperative,Apache Generating Station,Apache Station
Dynegy Midwest Generation,Baldwin Power Plant Unit 1 and Unit 2,Baldwin Energy Complex
Southern Company,Barry Steam Electric Generating Facility Unit 5,Barry
Otter Tail Power Company,Big Stone Plant,Big Stone
Southern Company,"Bowen Steam Generator Unit 1, Unit 2, Unit 3, and Unit 4",Bowen
Cleco Power LIC,Brame Energy Center Unit 2,Brame Energy Center
Rainbow Energy Center,Coal Creek Station,Coal Creek
Coleto Creek Power,Coleto Creek Power Station,Coleto Creek
"Talen Montana, LIC and NorthWestern Energy",Colstrip Steam Electric Station Units 3 and 4,Colstrip
Colver Green Energy Generation LLC,Colver Green Facility,Colver Green Energy
"Keystone-Conemaugh Projects, LLC",Conemaugh Station Unit 1 and Unit 2,Conemaugh
East Kentucky Power Cooperative,Cooper Station,Cooper
Otter Tail Power Company,Coyote Station,Coyote
Tennessee Valley Authority,Cumberland Fossil Plant,Cumberland (TN)
Big Rivers Electric Corporation,D.B. Wilson Station,D B Wilson
Basin Electric,Dry Fork Station Unit 1,Dry Fork Station
Ebensburg Power Company (EPC),EPC Generating Station,Ebensburg Power
Monongahela Power Company “MonPower”,Fort Martin Power Station,FirstEnergy Fort Martin Power Station
Tennessee Valley Authority,Gallatin Fossil Plant,Gallatin (TN)
American Bituminous Power Partners,Grant Town Power Plant Boiler #1A and Boiler #1B,Grant Town Power Plant
Monongahela Power Company “MonPower”,Harrison Power Station,FirstEnergy Harrison Power Station
Golden Valley Electric Association,Healy Power Plant Unit 1 and Unit 2,Healy
Sunflower Electric Power Corporation,Holcomb Station,Holcomb
Western Farmers Electric Cooperative,Hugo Generating Station HU-UNIT 1,Hugo
"Ri-Corp Development Inc, Gilberton Power Company",John B. Rich Memorial Power Station CFB Boiler 1 (CU031) and CFB Boiler 2 (CU032),John B Rich Memorial Power Station
City Utilities of Springfield,John Twitty Energy Center,John Twitty Energy Center
"Keystone-Conemaugh Projects, LLC",Keystone Station Unit 1 and Unit 2,Keystone
Kincaid Generation,Kincaid Power Plant Unit 1 and Unit 2,Kincaid Generation LLC
Tennessee Valley Authority,Kingston Fossil Plant,Kingston
Ameren Missouri,Labadie Energy Center,Labadie
Basin Electric,"Laramie River Station Units 1, 2, and 3",Laramie River Station
Basin Electric,Leland Olds Station Units 1 and 2,Leland Olds
NRG Energy,Limestone Generating Station,Limestone
Luminant Generation Company,"Martin Lake Steam Electric Station Unit 1, Unit 2, and Unit 3",Martin Lake
Hallador Power Company,Merom Generating Station,Merom
GSP Merrimack LLC,"Merrimack Station in Bow, New Hampshire",Merrimack
Miami Fort Power Company,Miami Fort Power Plant Unit 1 (B015) and Unit 2 (B016),Miami Fort
Southern Company,"Miller Steam Electric Generating Facility Unit 1, Unit 2, Unit 3, and Unit 4",James H Miller Jr
"Minnkota Power Cooperative, Inc",Milton R. Young Station Unit 1 and Unit 2,Milton R Young
Mount Carmel Cogen Inc,Mount Carmel Cogen Power Plant,Foster Wheeler Mt Carmel Cogen
Dominion Energy,Mount Storm Power Station,Mt Storm
Oklahoma Gas and Electric,Muskogee Unit 6,Muskogee
Associated Electric Cooperative,New Madrid Power Plant Unit 1 and Unit 2 Coal Fired Cyclone Boilers,New Madrid
Illinois Power Generating Company,Newton Power Station Unit 1,Newton
Olympus Power LLC,Northampton Generating Station Generating Unit 1,Northampton Generating Company LP
Oak Grove Management Company,Oak Grove Steam Electric Station,Oak Grove (TX)
Panther Creek Power,Panther Creek Pyropower Unit (031) and Pyropower Unit 2 (032),Panther Creek Energy Facility
Southern Company,Plant Daniel Electric Generating Unit 1 and Unit 2,Victor J Daniel Jr
NRG Energy,Plum Point Generation Station,Plum Point Energy Station
NRG Energy,Powerton Electric Generating Station,Powerton
Rausch Creek Generation LLC,Rausch Creek Generation Fluidized Bed Boiler (031),Westwood Generation LLC
"Choctaw Generation Limited Partnership, LLLP",Red Hills Generating Facility,Red Hills Generating Facility
Oklahoma Gas and Electric,River Valley Common Stack CS 1,River Valley
Entergy Louisiana,RS Nelson Plant Unit 6,R S Nelson
San Miguel Electric Cooperative,"San Miguel Cooperative, Inc. in Christine, TX",San Miguel
Southern Company,"Scherer Steam Generator Unit 1, Unit 2, and Unit 3",Scherer
Scrubgrass Reclamation Company LP,"Scrubgrass Generating Plant/Venango Number 2 CFB Boiler (031), Number 2 CEB Boiler (032)",Scrubgrass Reclamation CO. LP.
Seward Generation,Seward Generation Station,Seward (PA)
Tennessee Valley Authority,Shawnee Fossil Plant,Shawnee
Ameren Missouri,Sioux Energy Center,Sioux
Oklahoma Gas and Electric,Sooner Unit 1 and Unit 2,Sooner
East Kentucky Power Cooperative,Spurlock Station,H L Spurlock
Schuylkill Energy Resources,St. Nicholas Cogeneration Project,St Nicholas Cogen Project
Associated Electric Cooperative,Thomas Hill Energy Center Unit 1 and Unit 2 Coal Fired Cyclone Boilers and Unit 3 Pulverized Coal Fired Tangential Boiler,Thomas Hill
NRG Energy,W.A Parish Generating Station,W A Parish
Olympus Power LLC,"Walleye Power, LLC Bay Shore Unit 1",FirstEnergy Bay Shore
Entergy Arkansas LIC,White Bluff Steam Electric Station Unit 1,White Bluff
