"","facility_source_affected","plant_name","utility_name","street_address","city","state","zip","prim_source","latitude","longitude"
"1","Antelope Valley Station Units 1 and 2","Antelope Valley","Basin Electric Power Coop","Hwy 200","Beulah","North Dakota",58523,"coal",47.370542,-101.83566
"2","Apache Generating Station","Apache Station","Arizona Electric Pwr Coop Inc","3525 N US Hwy 191","Cochise","Arizona",85606,"natural gas",32.0603,-109.8931
"3","Baldwin Power Plant Unit 1 and Unit 2","Baldwin Energy Complex","Dynegy Midwest Generation Inc","10901 Baldwin Rd Box146","Baldwin","Illinois",62217,"coal",38.205,-89.8544
"4","Barry Steam Electric Generating Facility Unit 5","Barry","Alabama Power Co","North Highway 43","Bucks","Alabama",36512,"natural gas",31.0069,-88.0103
"5","Big Stone Plant","Big Stone","Otter Tail Power Co","48450  144th Street","Big Stone City","South Dakota",57216,"coal",45.303652,-96.510067
"6","Bowen Steam Generator Unit 1, Unit 2, Unit 3, and Unit 4","Bowen","Georgia Power Co","317 Covered Bridge Road, SW","Cartersville","Georgia",30120,"coal",34.1256,-84.9222
"7","Brame Energy Center Unit 2","Brame Energy Center","Cleco Power LLC","275 Rodemacher Rd","Lena","Louisiana",71447,"petroleum",31.395,-92.716667
"8","Coal Creek Station","Coal Creek","Rainbow Energy Center","2875 3rd Street SW","Underwood","North Dakota",58576,"coal",47.377743,-101.157058
"9","Coleto Creek Power Station","Coleto Creek","Coleto Creek Power LP","FM 2987 off Hwy 59","Fannin","Texas",77960,"coal",28.7128,-97.214167
"10","Colstrip Steam Electric Station Units 3 and 4","Colstrip","Talen Montana LLC","1 Warehouse Road","Colstrip","Montana",59323,"coal",45.8831,-106.614
"11","Colver Green Facility","Colver Green Energy","Inter-Power/AhlCon Partners, L.P.","141 Interpower Drive","Colver","Pennsylvania",15927,"coal",40.55108,-78.79794
"12","Conemaugh Station Unit 1 and Unit 2","Conemaugh","KeyCon Operating LLC","1442 Power Plant Road","New Florence","Pennsylvania",15944,"coal",40.3842,-79.0611
"13","Cooper Station","Cooper","East Kentucky Power Coop, Inc","670 Cooper Power Plant Rd.","Somerset","Kentucky",42501,"coal",36.9981,-84.5919
"14","Coyote Station","Coyote","Otter Tail Power Co","6240  13th Street SW","Beulah","North Dakota",58523,"coal",47.221447,-101.815722
"15","Cumberland Fossil Plant","Cumberland (TN)","Tennessee Valley Authority","815 Cumberland City Rd.","Cumberland City","Tennessee",37050,"coal",36.3903,-87.6539
"16","D.B. Wilson Station","D B Wilson","Big Rivers Electric Corp","5663 Highway 85 West","Centertown","Kentucky",42328,"coal",37.4497,-87.0806
"17","Dry Fork Station Unit 1","Dry Fork Station","Basin Electric Power Coop","Interstate 90","Gillette","Wyoming",82732,"coal",44.388889,-105.460833
"18","EPC Generating Station","Ebensburg Power","Ebensburg Power Co","2840 New Germany Road","Ebensburg","Pennsylvania",15931,"coal",40.455,-78.7472
"19","Fort Martin Power Station","FirstEnergy Fort Martin Power Station","Monongahela Power Co","PO Box 247","Maidsville","West Virginia",26541,"coal",39.710833,-79.9275
"20","Gallatin Fossil Plant","Gallatin (TN)","Tennessee Valley Authority","1499 Steam Plant Rd.","Gallatin","Tennessee",37066,"coal",36.3156,-86.4006
